PDF Template ID	PDF Template Name	OrgTemplate ID	Organization Name	Organization ID
a1db6c1c-2087-45eb-96f0-3063ca39e991	Alohacare_PA_cover_letter	aloha	AlohaCare Medicaid	b144f12a-efb5-439c-8e40-074357ff3a57
1d8b99d2-c2ed-460c-9ef7-81c18cbf7359	BSC_Outreach_no_sig	blueshield_ca_affil	BSCA Arine	392144ef-b374-4876-b4d3-e9c1d598a183
ac947eef-e39b-40b6-9a04-84cd8d384d8a	BSC_SPC_TMR	blueshield_ca_affil	BSCA Arine	392144ef-b374-4876-b4d3-e9c1d598a183
b0e53476-2f55-42e6-8f66-833b52926a33	BSC_SUPD_TMR	blueshield_ca_affil	BSCA Arine	392144ef-b374-4876-b4d3-e9c1d598a183
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	prospect	Admin Portal Test Patient Org DEV	2c360add-a115-4059-a756-ffe9b0c84c03
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Admin Portal Test Patient Org PROD	316de193-96e8-4735-9822-29de02116b0f
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Admin Portal Test Patient Org PROD	3574e0f1-c6b7-4937-a81d-b9c8a1d4bd3c
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	prospect	Giulio Test Org	e304222e-e369-4d99-8aac-989caecefd13
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Mozhi Test Customer ID	40d05ea6-4479-4ce7-a557-53942d46e07c
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Mozhi Test Customer ID 2	8161b0fe-c951-448b-8c8c-7492f7d5f0b8
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Mozhi Test Customer ID 3	a18adcb4-7077-4b21-b9b0-29cded15cd30
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Mozhi Test Customer ID 4	3dd329ab-2d82-445e-a505-2d5133afac9d
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	scan_h5425	Mozhi Test PDF Templates	126590f2-dff4-4d1e-bd02-8c74ba0584e3
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	select_health	Mozhi Test PDF Templates	168e0589-5a1d-48d1-ad4e-0cdb7cfc62b4
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	NEW_TEST_PATIENT_ORG	4a259168-0d1e-49b7-a629-c43b8de885d5
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	Org for Dev Testing	41d426a9-5af7-46b2-88c5-bddf47931647
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	prospect	Stage_Testing_Organization	7bcbfb10-616c-4a6e-87b9-b9673c6730f1
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	TEST_ORG_01	529415d6-f492-4f4b-9e7a-38f7649cc29c
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	TEST_ORG_1	ce51e550-a68e-4427-8dd4-5d29bbe79ba4
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	new patient test org	0c7869ff-3db2-4b7a-af98-41bddfc6ff6f
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	excellus_dsnp	new_org	fc68d7a8-d1da-427a-a1cc-36ad0f7df176
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	patient_test_org	1683a4ad-0b64-47eb-abba-c741c7540540
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	priority_health	sample_patient_org	a1e8b25a-6cd2-48f9-8227-54684959fb4e
f4998349-a64a-466e-929e-cd66c6d5795f	CL_CMM	prospect	test org for testing	308b7417-b4ec-4e7a-a0e2-b07de68e9c1f
1949e0de-1999-4cb1-b3d0-f14707f82477	CL_GRACE	aloha	AlohaCare ETL-TEST	2f368724-5f89-4e5c-953d-690bd158bcbc
